Up to date
(["USDT"],10000.0)
(["BTCUSDT"],9855.390404515523)
(["USDT"],9963.668861712134)
(["BTCUSDT"],10101.382576093825)
(["USDT"],9829.18266591249)
(["BTCUSDT"],10657.857487226076)
(["BTCUSDT"],10767.213456223975)
(["BTCUSDT"],10662.585595326644)
(["BTCUSDT"],10619.62630063164)
(["BTCUSDT"],10797.706059638185)
(["USDT"],10662.585595326645)
(["USDT"],10662.585595326645)
(["BTCUSDT"],11627.050288539944)
(["BTCUSDT"],12905.683674414115)
(["BTCUSDT"],12708.712707228615)
(["BTCUSDT"],14217.692696394719)
(["BTCUSDT"],14490.60691426174)
(["USDT"],12708.712707228615)
(["BTCUSDT"],12827.80156267091)
(["BTCUSDT"],11990.85388990542)
(["BTCUSDT"],11831.155816269184)
(["USDT"],12827.80156267091)
(["USDT"],12827.80156267091)
(["USDT"],12827.80156267091)
(["BTCUSDT"],12008.913266388949)
(["USDT"],12495.957683926126)
(["USDT"],12495.957683926126)
(["USDT"],12495.957683926126)
(["BTCUSDT"],13709.888010894481)
(["BTCUSDT"],13932.71543738713)
(["BTCUSDT"],13875.965917781024)
(["BTCUSDT"],13763.947300819402)
(["BTCUSDT"],13159.998696652296)
(["USDT"],13875.965917781024)
(["USDT"],13875.965917781024)
(["USDT"],13875.965917781024)
(["BTCUSDT"],13163.368972565604)
(["USDT"],13859.908400237362)
(["BTCUSDT"],12354.28332909904)
(["USDT"],12890.47721836699)
(["USDT"],12890.47721836699)
(["BTCUSDT"],13084.710747720328)
(["BTCUSDT"],12641.039603153928)
(["BTCUSDT"],13226.773018506745)
(["USDT"],13084.710747720328)
(["USDT"],13084.710747720328)
(["BTCUSDT"],13470.710534519387)
(["USDT"],12927.156468450072)
(["BTCUSDT"],14013.686924805459)
(["BTCUSDT"],14239.906278087303)
(["BTCUSDT"],14811.108952235576)
(["BTCUSDT"],14445.035364726968)
(["BTCUSDT"],14718.270425545981)
(["BTCUSDT"],15138.644292327894)
(["USDT"],14445.035364726968)
(["BTCUSDT"],16747.871614149884)
(["BTCUSDT"],17024.088957995893)
(["BTCUSDT"],17259.236630654625)
(["BTCUSDT"],18452.910779654932)
(["BTCUSDT"],20446.452287570937)
(["BTCUSDT"],17686.01154903552)
(["BTCUSDT"],19367.308042599918)
(["BTCUSDT"],18580.67788671227)
(["USDT"],17686.01154903552)
(["BTCUSDT"],15145.578735602754)
(["USDT"],16967.66958890109)
(["USDT"],16967.66958890109)
(["USDT"],16967.66958890109)
(["BTCUSDT"],17182.687673913944)
(["BTCUSDT"],17611.440901134505)
(["USDT"],17438.11845728874)
(["USDT"],17438.11845728874)
(["BTCUSDT"],19439.734893547462)
(["BTCUSDT"],18757.481841422683)
(["BTCUSDT"],17572.012942518402)
(["BTCUSDT"],18213.894708225445)
(["USDT"],18757.481841422683)
(["USDT"],18757.481841422683)
(["BTCUSDT"],17284.224640175846)
(["USDT"],18117.024019724977)
(["USDT"],18117.024019724977)
(["BTCUSDT"],17773.974197095533)
(["USDT"],15769.806697209087)
(["BTCUSDT"],17517.264887053265)
(["BTCUSDT"],17272.420781193312)
(["USDT"],17134.814218367548)
(["BTCUSDT"],15738.074797474163)
(["USDT"],16895.315741098228)
(["USDT"],16895.315741098228)
(["USDT"],16895.315741098228)
(["USDT"],16895.315741098228)
(["BTCUSDT"],16312.981583594501)
(["USDT"],16795.897840100482)
(["USDT"],16795.897840100482)
(["BTCUSDT"],17744.67769920454)
(["USDT"],16738.7411544011)
(["BTCUSDT"],18397.31877009176)
(["BTCUSDT"],18909.725289127422)
(["BTCUSDT"],19107.495919602345)
(["BTCUSDT"],20680.867661260047)
(["BTCUSDT"],20071.962080947833)
(["BTCUSDT"],20934.422441106977)
(["BTCUSDT"],20967.86495998778)
(["USDT"],20071.962080947833)
(["BTCUSDT"],18955.98147850349)
(["BTCUSDT"],19341.227771182686)
(["USDT"],19912.62727159313)
(["USDT"],19912.62727159313)
(["BTCUSDT"],17351.873220068876)
(["USDT"],19669.77393875106)
(["USDT"],19669.77393875106)
(["USDT"],19669.77393875106)
(["BTCUSDT"],19687.7306256562)
(["BTCUSDT"],20850.254177038463)
(["USDT"],19515.57566566775)
(["BTCUSDT"],19202.471919434363)
(["BTCUSDT"],19124.986553266415)
(["USDT"],20375.905608598976)
(["USDT"],20375.905608598976)
(["USDT"],20375.905608598976)
(["BTCUSDT"],20347.34682767327)
(["USDT"],19878.578760816476)
(["BTCUSDT"],19052.11182969182)
(["BTCUSDT"],18617.035365843112)
(["USDT"],19962.854124326066)
(["USDT"],19962.854124326066)
(["USDT"],19962.854124326066)
(["BTCUSDT"],21540.340324241817)
(["BTCUSDT"],22106.659619903825)
(["BTCUSDT"],22010.97801148096)
(["BTCUSDT"],22005.165869362518)
(["BTCUSDT"],21454.324787299076)
(["USDT"],22010.97801148096)
(["USDT"],22010.97801148096)
(["USDT"],22010.97801148096)
(["BTCUSDT"],21257.953695593576)
(["USDT"],21853.80936809902)
(["USDT"],21853.80936809902)
(["USDT"],21853.80936809902)
(["BTCUSDT"],22228.252489409348)
(["BTCUSDT"],22164.855736651592)
(["USDT"],22252.604414798483)
(["USDT"],22252.604414798483)
(["USDT"],22252.604414798483)
(["USDT"],22252.604414798483)
(["USDT"],22252.604414798483)
(["USDT"],22252.604414798483)
(["BTCUSDT"],21784.143395630475)
(["USDT"],22087.985930993465)
(["USDT"],22087.985930993465)
(["BTCUSDT"],18568.198782173153)
(["USDT"],21370.262124708675)
(["USDT"],21370.262124708675)
(["USDT"],21370.262124708675)
